Date,Price,Open,High,Low,Change %
"Aug 10, 2017",64.165,63.898,64.175,63.855,0.48
"Aug 09, 2017",63.86,63.78,63.86,63.71,0.26
"Aug 08, 2017",63.692,63.75,63.785,63.615,-0.23
"Aug 07, 2017",63.84,63.71,63.865,63.648,0.26
"Aug 04, 2017",63.675,63.67,63.786,63.572,-0.05
"Aug 03, 2017",63.705,63.63,63.72,63.56,0.11
"Aug 02, 2017",63.635,64.12,64.135,63.59,-0.72
"Aug 01, 2017",64.095,64.1,64.145,64.04,-0.16
"Jul 31, 2017",64.2,64.11,64.272,64.045,0.13
"Jul 28, 2017",64.115,64.19,64.245,64.105,-0.02
"Jul 27, 2017",64.125,64.18,64.218,64.06,-0.36
"Jul 26, 2017",64.355,64.43,64.487,64.313,-0.05
"Jul 25, 2017",64.385,64.35,64.425,64.34,-0.02
"Jul 24, 2017",64.395,64.41,64.465,64.295,0.02
"Jul 21, 2017",64.385,64.38,64.39,64.3,0.02
"Jul 20, 2017",64.375,64.34,64.46,64.32,0.16
"Jul 19, 2017",64.27,64.35,64.37,64.24,-0.07
"Jul 18, 2017",64.316,64.32,64.415,64.266,-0.05
"Jul 17, 2017",64.345,64.35,64.407,64.33,-0.12
"Jul 14, 2017",64.424,64.44,64.525,64.376,-0.06
"Jul 13, 2017",64.46,64.392,64.475,64.392,-0.02
"Jul 12, 2017",64.475,64.51,64.6,64.45,-0.14
"Jul 11, 2017",64.565,64.45,64.605,64.445,0.14
"Jul 10, 2017",64.475,64.56,64.597,64.45,-0.23
"Jul 07, 2017",64.625,64.75,64.775,64.515,-0.15
"Jul 06, 2017",64.725,64.75,64.808,64.7,-0.12
"Jul 05, 2017",64.8,64.7,64.865,64.67,0.02
"Jul 04, 2017",64.79,64.79,64.897,64.69,-0.08
"Jul 03, 2017",64.845,64.65,64.91,64.63,0.35
"Jun 30, 2017",64.62,64.725,64.84,64.57,-0.06
"Jun 29, 2017",64.66,64.45,64.69,64.438,0.21
"Jun 28, 2017",64.525,64.55,64.66,64.485,0.08
"Jun 27, 2017",64.475,64.48,64.545,64.4,0.06
"Jun 26, 2017",64.435,64.46,64.465,64.43,-0.11
"Jun 23, 2017",64.505,64.56,64.618,64.42,-0.15
"Jun 22, 2017",64.605,64.53,64.63,64.44,0.12
"Jun 21, 2017",64.53,64.63,64.68,64.485,-0.02
